start	end	text
129640	131240	任何人都會用這兩個組合
131240	132240	開發出自己的APP
132240	133840	5.Depsy加Cormic
133840	134840	自動生成漫畫
134840	136640	很多博主都會用來做漫畫視頻
136640	137240	或取流量
137240	139440	我們靠Depsy給就可以自動生成漫畫
139640	141440	做漫畫首先需要漫畫情節
141440	142440	直接打開Depsy
142440	144440	必須我們要做一個魔法故事的漫畫
144440	145320	直接會Depsy
145320	147640	我想要AI生成一個魔法世界故事的漫畫
147640	149040	請幫我寫一個故事情節
149040	150840	故事裡面需要有12尾主角
150840	151840	然後點擊發送
151840	153840	OK然後我們複製Depsy的回答
153840	154840	打開Cormic的AI
154840	155640	在這個地方
155640	156840	把剛剛的內容放進去
156840	158040	選在下漫畫風格
158040	159640	以及每夜的畫布數量
159640	160440	添加推畫框
160440	162640	然後屬於你自己創作的漫畫就完成了
162640	164240	各種風格的漫畫都可以創作
164240	165840	你還可以把你喜歡的小說放進來
165840	166840	生成漫畫
167840	168840	自動生成動畫網站
168840	170840	這種卡通風格的動畫網站
170840	171840	也可以通過Depsy建成了
171840	173840	用Depsy來做網站
173840	174840	簡直是那天的存在
174840	175840	一分鐘即可生成
175840	176840	首先直接打開Depsy的可
176840	178840	告訴他你想做什麼網站
178840	180840	比如想做一個鴨子條舞的個人網站
180840	182840	讓Depsy幫我生成網站描述的提示詞
182840	183840	直接複製
183840	184840	然後我們打開Doro
184840	186840	把剛剛的提示詞輸入進去
186840	187840	AI就會自動執行命令
187840	189840	31秒鐘就生成一個網站
189840	190840	它會自動進行排阪
190840	191840	看起來是不是非常懸固
191840	192840	無虛帶滿
192840	193840	小白就能做
193840	194840	生成了效果真的太經驗了
195840	196840	其Depsy加Naked
196840	197840	自動生成懸酷圖表
197840	198840	你敢相信這些
198840	200840	懸酷的圖表多是6Depsy也生成的嗎
200840	202840	我們直接打開Depsy的可
202840	204840	比如讓Depsy先把我們生成一份週報模板
204840	205840	大家可以參考這個指令
205840	208840	然後Depsy就把我們生成一份優質的週報
208840	209840	接著打開Naked
209840	210840	把剛剛的週報放進去
210840	211840	然後看過來
211840	213840	它就直接生成了各種感染的懸酷圖表了
213840	214840	你可以隨意調整格式
214840	215840	完整後可以發到你的PBT
215840	217840	或者文檔裡或者郵件裡
217840	219840	關鍵事件關鍵數據螢幕了人
220840	221840	把Depsy加InfoGraph
221840	222840	自動生成信息表
223840	224840	這些高質量的信息圖表
224840	226840	都是用Depsy的自動生成的
226840	227840	它的操作非常簡單
227840	228840	我們直接打開Depsy的
228840	230840	比如我們想作業份新能源汽車的
230840	231840	電源報告的信息表
231840	233840	可以讓Depsy先把我們生成的大缸
233840	234840	複製大缸打開InfoGraph
234840	236840	你可以把剛剛的大缸暫停進去
236840	238840	也可以把文章或者鏈接放進去
238840	239840	直接生成
239840	241840	它就能一間轉化成可是好的信息圖表
241840	242840	把你快速消化支持
242840	244840	它裡面有多種模板可以隨意替換
244840	245840	用這種方式來做圖表
245840	247840	絕對比你用手坑持坑之作
247840	248840	效率高100倍
248840	249840	就Depsy加千雲圖
249840	250840	自動生成此雲
250840	251840	這種優質的此雲圖
251840	252840	可不是用PS一個個畫的
252840	254840	現在用Depsy就可以自動生成了
254840	255840	我們直接打開Depsy
255840	256840	比如要做一個
256840	258840	逛一信能源汽車的此雲圖
258840	259840	來分析受眾
259840	260840	你可以這樣提問
260840	261840	我想生成一個此雲圖
261840	263840	請你維繞信能源汽車
263840	264840	幫我生成五個相關此雲
264840	265840	OK直接複製回答
265840	266840	然後打開親雲圖
266840	268840	把剛剛的內容暫停進去
268840	269840	點接生成
271840	273840	它會自動分析關鍵此雞型與一分析
273840	274840	然後不到一分鐘
274840	275840	一分此雲圖就好了
275840	277840	你還可以隨意調整樣式
277840	279840	是不是非常簡單
