start	end	text
493000	495000	也就是分情况运行的话,
495000	499000	同样还是以运行时间最长的分支,
499000	501000	作为时间复杂度的依据,
501000	502000	因此,
502000	505000	这里的时间复杂度就是n平方。
506000	508000	现在可以暂停视频理解一下。
511000	512000	接下来,
512000	514000	我们再来看一下一些常见
514000	517000	而又奇奇怪怪的时间复杂度,
517000	519000	现在可以暂停视频思考一下,
519000	522000	这个函数的时间复杂度是多少。
526000	529000	我们先来看一下总的执行次数tn,
530000	532000	当i等于0的时候,
532000	534000	里程循环就会执行n次,
534000	536000	当i等于1的时候,
536000	539000	里程循环就会执行n-1次,
539000	541000	当i等于2的时候,
541000	543000	里程循环就会执行n-2次。
544000	545000	然后,
545000	547000	每当i增加1,
547000	549000	里程循环就会少执行一次,
549000	551000	当i等于n-2的时候,
551000	554000	里程循环就会执行两次,
554000	556000	当i等于n-1的时候,
556000	558000	里程循环就会执行1次。
558000	559000	然后,
559000	564000	我们只要把n个里程循环执行的次数相加,
564000	568000	就会得出总执行次数的不精确的结果。
568000	570000	如果刚才没有想出来的话,
570000	574000	现在可以暂停视频求一下最后的时间复杂度。
577000	580000	最后得出的时间复杂度就是
580000	582000	Om平方,
582000	584000	如果刚才没有做出来的话,
584000	586000	现在可以暂停视频理解一下。
589000	591000	接下来我们再看一个函数,
591000	593000	现在可以暂停视频思考一下
593000	596000	这个函数的时间复杂度是多少。
600000	602000	我们假设在n是8的情况,
602000	605000	还有在n是16的情况下,
605000	608000	看一下函数printf的执行次数,
608000	611000	我们先玩一下n等于8的情况。
611000	613000	首先执行的是
613000	616000	生命变量i并且初始化为1,
616000	619000	现在i保存的值是1。
619000	621000	接着执行判断,
621000	624000	由于1小于8是成立的,
624000	626000	所以执行函数printf,
626000	629000	printf执行次数加1,
629000	633000	然后执行i等于2,i变成了2。
635000	637000	接着执行判断,
637000	639000	由于2小于8是成立的,
639000	642000	所以执行函数printf,
642000	645000	printf执行次数加1,
645000	649000	然后执行i等于2,i变成了4。
651000	653000	接着执行判断,
653000	655000	由于4小于8是成立的,
655000	658000	所以执行函数printf,
658000	661000	printf执行次数加1,
661000	665000	然后执行i等于2,i变成了8。
665000	667000	接着执行判断,
667000	669000	由于8小于8是不成立的,
670000	672000	所以T8等于3。
674000	677000	然后我们来数一下T16,
677000	679000	由于前面的执行是一样的,
679000	681000	我们就不重复了,
681000	683000	用现在的数据继续执行,
683000	686000	由于8小于16是成立的,
686000	689000	所以执行函数printf,
689000	691000	printf执行次数加1,
691000	695000	然后执行i等于2,i变成了16。
695000	697000	接着执行判断,
697000	700000	由于16小于16是不成立的,
700000	703000	所以T16等于4。
705000	706000	当然,
706000	710000	现在的T除了printf执行的次数以外,
710000	713000	应该还有i乘等2的次数,
713000	715000	还有判断的次数,
715000	718000	还有i初始化的次数。
718000	720000	不过,这些都不重要,
720000	724000	因为在减化成时间复杂度的时候都会省略掉,
724000	727000	所以我们还是先去掉。
727000	730000	现在可以暂停视频观察一下规律。
733000	737000	对执行次数主要的影响来源于i乘等2,
737000	741000	每次都是i变成原来的2倍。
741000	743000	仔细观察就会发现,
743000	745000	T8和8的关系就是,
745000	748000	2的T8次方等于8,
748000	751000	T16和16的关系就是,
752000	755000	2的T16次方等于16,
755000	758000	所以Tn和n的关系就是,
758000	761000	2的Tn次方等于n。
761000	763000	如果刚才没有找出规律的话,
763000	765000	现在可以暂停视频理解一下。
768000	772000	当然,这样是没办法表示时间复杂度的,
772000	776000	我们还是需要把Tn放到等号的左边,
776000	779000	也就是Tn等于log2n。
779000	783000	不过,这只是统计了printf的执行次数,
783000	788000	写完整一点就是3xlog2n加O。
788000	792000	由于时间复杂度需要去掉常数和系数,
792000	796000	所以时间复杂度就是log2n,
796000	800000	不过log的底数跟系数是一样的,
800000	802000	也需要去掉。
802000	807000	最后正确的时间复杂度应该是Ologn。
807000	810000	可能有些小伙伴不知道什么是对数,
810000	813000	接下来简单的补充一下什么是对数。
813000	816000	如果A的问号次方等于B,
816000	819000	假设我们是知道A和B具体的数值,
819000	822000	我们需要求的是问号是多少,
822000	825000	为了方便表示,我们可以使用对数,
825000	829000	把式子表示成logAB。
829000	834000	这条等式左边叫做,以A为底,B的对数,
834000	837000	A叫做底数,B叫做帧数。
837000	842000	现在可以暂停视频理解一下这个算法的时间复杂度。
845000	847000	最重要的内容放在了最后,
847000	851000	由于时间复杂度是用来描述算法的快慢的,
851000	856000	那么我们肯定要对比一下常见的时间复杂度的速度。
857000	861000	横坐标是数据量,中坐标是时间复杂度。
861000	864000	通过这个图我们就可以很容易看出来,
864000	868000	随着数据量增多,而导致时间复杂度的变化。
869000	872000	现在,中坐标轴的最大指示是,
872000	874000	我们一个个来对比一下。
874000	877000	首先是现在看到的O1,
877000	881000	随着数据量增大,时间复杂度是没有变化的。
881000	884000	接着是OlogN,
884000	889000	随着数据量越来越大,时间复杂度的增加速度越来越小,
889000	892000	慢慢趋向于一条直线。
893000	897000	接着,中坐标轴的最大指调到了100,
897000	903000	现在是ON,数据量增大多少,时间复杂度就会增大多少。
904000	910000	接着是ONlogN,比ON慢一点。
910000	913000	接着是ON平方,
913000	917000	随着数据量增大,时间复杂度增加得越剧烈。
918000	922000	接着,中坐标轴的最大指调到了100,
922000	925000	现在是ON的三次方,
925000	928000	它比ON平方慢很多。
928000	931000	而且,随着数据量增大,
931000	935000	执行的速度跟ON平方就会相差越来越大。
935000	938000	接着是ON2的N次方,
938000	942000	一点数据量就会使程序卡得没办法运行。
943000	945000	现在我们需要思考一下
945000	949000	时间复杂度由快到慢应该怎样排序。
950000	953000	根据多年来的编程经验告诉我,
953000	955000	由快到慢就是
955000	960000	ON1,ONlogN,ONlogN,ON平方,
960000	963000	ON3次方,ON2的N次方,
963000	966000	就像现在看到的表格的顺序。
966000	969000	呵呵,我果然是个天才。
969000	972000	现在可以在您视频理解一下。
976000	979000	最后,我们再做一道题目,
979000	983000	这是2015年NOIP普及组单选19题。
983000	985000	它有四个选项,
985000	989000	A自己算,B自己算,CD还是自己算,
989000	992000	现在可以在您视频算一下。
995000	998000	现在我们开始套话行为,
998000	1002000	TN-1,我们可以把N-1作为参数,
1002000	1005000	再代入到题目的式子里面,
1005000	1007000	然后就求出了下一步。
1007000	1011000	接着,我们可以把N-2作为参数,
1011000	1013000	再代入到题目的式子里面,
1013000	1016000	然后就又求出了下一步。
1017000	1021000	由于传给N的时差代表一个明确的整数,
1021000	1024000	所以,只要我们坚持套话行为,
1024000	1027000	总有一天我们可以把T0算到初限,
1027000	1030000	也就是我们现在看到的这样子,
1030000	1034000	由于T0等于1,所以就算成了这样子,
1034000	1037000	最终结果就是这样子。
1037000	1040000	我们保留最高次项,然后去掉系数,
1040000	1044000	得出了时间复杂度,O,N平方。
